seqnames,gc,gcmed
chr20,0.52,20351.5
chr20,0.53,18092.5
chr20,0.54,16154.5
chr20,0.55,13256.5
chr20,0.56,10811
chr20,0.57,9123
chr20,0.58,7512.5
chr20,0.59,6343.5
chr20,0.6,5336
chr20,0.61,4397.5
chr20,0.62,3657.5
chr20,0.63,2894
chr20,0.64,2436
chr20,0.65,1938
chr20,0.66,1598.5
chr20,0.67,1096.5
chr20,0.68,860
chr20,0.69,623.5
chr20,0.7,448
chr20,0.71,312.5
chr20,0.72,241.5
chr20,0.73,174.5
chr20,0.74,130
chr20,0.75,108
chr20,0.76,93
chr20,0.77,84
chr20,0.78,77
chr20,0.79,62.5
chr20,0.8,53.5
chr21,0.2,137.5
chr21,0.21,325
chr21,0.22,726.5
chr21,0.23,1328
chr21,0.24,2085
chr21,0.25,3365.5
chr21,0.26,4521
chr21,0.27,5988
chr21,0.28,7834
chr21,0.29,8885
chr21,0.3,10682
chr21,0.31,11813.5
chr21,0.32,13000.5
chr21,0.33,13125
chr21,0.34,15523.5
chr21,0.35,15350
chr21,0.36,15917.5
chr21,0.37,15129
chr21,0.38,15728.5
chr21,0.39,14914
chr21,0.4,14490
chr21,0.41,13659
chr21,0.42,13165
chr21,0.43,12329.5
chr21,0.44,11765
chr21,0.45,11384.5
chr21,0.46,10993
chr21,0.47,9958.5
chr21,0.48,9491
chr21,0.49,9337.5
chr21,0.5,8023.5
chr21,0.51,8572
chr21,0.52,7378.5
chr21,0.53,6481
chr21,0.54,5669
chr21,0.55,4634.5
chr21,0.56,3790
chr21,0.57,3256.5
chr21,0.58,2781.5
chr21,0.59,2358
chr21,0.6,2105.5
chr21,0.61,1846.5
chr21,0.62,1634.5
chr21,0.63,1372.5
chr21,0.64,1241
chr21,0.65,1027
chr21,0.66,916
chr21,0.67,654.5
chr21,0.68,565
chr21,0.69,413
chr21,0.7,285.5
chr21,0.71,196
chr21,0.72,138.5
chr21,0.73,95
chr21,0.74,66.5
chr21,0.75,59
chr21,0.76,52.5
chr21,0.77,49
chr21,0.78,68
chr21,0.79,111.5
chr21,0.8,88
chr22,0.2,23
chr22,0.21,59
chr22,0.22,121.5
chr22,0.23,237.5
chr22,0.24,402
chr22,0.25,692.5
chr22,0.26,1037
chr22,0.27,1496
chr22,0.28,2128.5
chr22,0.29,2657
chr22,0.3,3390
chr22,0.31,4042
chr22,0.32,4653.5
chr22,0.33,5015.5
chr22,0.34,6383.5
chr22,0.35,6760
chr22,0.36,7321.5
chr22,0.37,7498
chr22,0.38,8563
chr22,0.39,8907.5
chr22,0.4,9405.5
chr22,0.41,9768
chr22,0.42,10359.5
chr22,0.43,10610.5
chr22,0.44,11101
chr22,0.45,11727.5
chr22,0.46,12214.5
chr22,0.47,12193
chr22,0.48,12776.5
chr22,0.49,13913
chr22,0.5,12679.5
chr22,0.51,14422
chr22,0.52,13607.5
chr22,0.53,12769
chr22,0.54,12124
chr22,0.55,10420.5
chr22,0.56,9055
chr22,0.57,8172.5
chr22,0.58,7274.5
chr22,0.59,6629.5
chr22,0.6,6121
chr22,0.61,5457.5
chr22,0.62,4935
chr22,0.63,4013
chr22,0.64,3496.5
chr22,0.65,2748.5
chr22,0.66,2194
chr22,0.67,1425.5
chr22,0.68,1064
chr22,0.69,700
chr22,0.7,466
chr22,0.71,311.5
chr22,0.72,222
chr22,0.73,157.5
chr22,0.74,126.5
chr22,0.75,105
chr22,0.76,90.5
chr22,0.77,73
chr22,0.78,62
chr22,0.79,55
chr22,0.8,49
chrX,0.2,305.5
chrX,0.21,731
chrX,0.22,1699
chrX,0.23,3202.5
chrX,0.24,5599
chrX,0.25,9173
chrX,0.26,13916.5
chrX,0.27,19414
chrX,0.28,26712.5
chrX,0.29,32147.5
chrX,0.3,40513
chrX,0.31,46842.5
chrX,0.32,53248.5
chrX,0.33,55238
chrX,0.34,66173.5
chrX,0.35,65572.5
chrX,0.36,67863
chrX,0.37,64790.5
chrX,0.38,67436
chrX,0.39,63585.5
chrX,0.4,60731
chrX,0.41,55512
chrX,0.42,52316
chrX,0.43,47308.5
chrX,0.44,43535
chrX,0.45,40614.5
chrX,0.46,37824
chrX,0.47,33267.5
chrX,0.48,30702.5
chrX,0.49,28892.5
chrX,0.5,23287
chrX,0.51,23493.5
chrX,0.52,20080.5
chrX,0.53,17118
chrX,0.54,14447
chrX,0.55,11080
chrX,0.56,8427
chrX,0.57,6386.5
chrX,0.58,4671.5
chrX,0.59,3428.5
chrX,0.6,2606
chrX,0.61,1993
chrX,0.62,1576.5
chrX,0.63,1143.5
chrX,0.64,982
chrX,0.65,770
chrX,0.66,623.5
chrX,0.67,449.5
chrX,0.68,361
chrX,0.69,292.5
chrX,0.7,256.5
chrX,0.71,187.5
chrX,0.72,162
chrX,0.73,127
chrX,0.74,105
chrX,0.75,80
chrX,0.76,65
chrX,0.77,57
chrX,0.78,46
chrX,0.79,35
chrX,0.8,31.5
chrY,0.2,13
chrY,0.21,16
chrY,0.22,3
chrY,0.23,7.5
chrY,0.24,5
chrY,0.25,8
chrY,0.26,12
chrY,0.27,18.5
chrY,0.28,31
chrY,0.29,22
chrY,0.3,23
chrY,0.31,26
chrY,0.32,28.5
chrY,0.33,27.5
chrY,0.34,29
chrY,0.35,28
chrY,0.36,33.5
chrY,0.37,33
chrY,0.38,39.5
chrY,0.39,41.5
chrY,0.4,47
chrY,0.41,48.5
chrY,0.42,48
chrY,0.43,56
chrY,0.44,68.5
chrY,0.45,80.5
chrY,0.46,119.5
chrY,0.47,117
chrY,0.48,114
chrY,0.49,89.5
chrY,0.5,55.5
chrY,0.51,56.5
chrY,0.52,42.5
chrY,0.53,28.5
chrY,0.54,19
chrY,0.55,18.5
chrY,0.56,12
chrY,0.57,8
chrY,0.58,79
chrY,0.59,67.5
chrY,0.6,23.5
chrY,0.61,4
chrY,0.62,4.5
chrY,0.63,25
chrY,0.64,14
chrY,0.65,16
chrY,0.66,22
chrY,0.67,21
chrY,0.68,13.5
chrY,0.69,15
chrY,0.7,11
chrY,0.71,8
chrY,0.72,7
chrY,0.73,3.5
chrY,0.74,4
chrY,0.75,2
chrY,0.76,2
chrY,0.77,1
chrY,0.78,2
chrY,0.8,1
chrY,0.79,1
